channel_id,name,medium,campaign_code
eab907d5-ee32-4fa8-8931-751d3c77126a,Google Ads,paid,
6f69a8fd-0956-444e-b432-670168ab38c0,Facebook Ads,paid,
3d712eb4-9a36-41c1-88e0-89a178f5441e,LinkedIn Ads,paid,
0d99b685-66fe-4543-9164-2cbe62e62ce1,Twitter Ads,paid,
1bf2833b-d80d-4c1c-9774-c9fa7b4e7b60,YouTube Ads,paid,
4f64c6b3-9c19-4c2f-8786-0eddcb316faa,Organic Search,organic,
c1267d80-01be-4e80-af0f-6a8f313467ae,Direct,organic,
80d31ba1-a13d-4c2d-b244-1512a0ede3c4,Email Campaign,email,
965058e4-57d6-4615-bde6-fbd88db6a9e4,Newsletter,email,
eec5aa11-547a-4ecd-8852-e2a3b1499e0f,Referral Program,referral,
f589441e-7ced-4f4d-89ab-a2ab2ec9d426,Partner Referral,referral,
132e66f7-8b67-42b3-83b2-0dad16135528,Content Marketing,organic,
8ce26a84-5fa5-49a3-b7db-a3277bf02c67,Webinar,organic,
af73da1d-9cf2-466e-b490-2f09b26ccb2f,Trade Show,organic,
affa379e-65d4-4e65-a566-ea73b6bfaa54,Affiliate,referral,
